Keyword,Landing Page Title,Description,Landing Page URL,Checkout URL
Male Infertility Biomarker Test,Male Infertility Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Testosterone, hormones, thyroid, and more.",https://superpower.com/welcome-cms/male-infertility-biomarker-test,https://superpower.com/checkout?sp_variant=male-infertility-biomarker-test
Menopause Biomarker Test,Menopause Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Estrogen, FSH, thyroid, metabolic, and more.",https://superpower.com/welcome-cms/menopause-biomarker-test,https://superpower.com/checkout?sp_variant=menopause-biomarker-test
Metabolic Panel,Comprehensive Metabolic Panel | CMP Test | Superpower,"Get a comprehensive metabolic panel. Test glucose, electrolytes, kidney and liver function. Results in 10 days. Only $199/year.",https://superpower.com/welcome-cms/metabolic-panel,https://superpower.com/checkout?sp_variant=metabolic-panel
Metabolic Syndrome,Metabolic Syndrome Test | Comprehensive Panel | Superpower,"Test for metabolic syndrome. Check glucose, triglycerides, HDL. Prevent diabetes and heart disease. Results in 10 days.",https://superpower.com/welcome-cms/metabolic-syndrome,https://superpower.com/checkout?sp_variant=metabolic-syndrome
Metabolic Syndrome Biomarker Test,Metabolic Syndrome Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Glucose, insulin, triglycerides, HDL, and more.",https://superpower.com/welcome-cms/metabolic-syndrome-biomarker-test,https://superpower.com/checkout?sp_variant=metabolic-syndrome-biomarker-test
NAFLD Biomarker Test,NAFLD Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Liver enzymes, metabolic, insulin, and more.",https://superpower.com/welcome-cms/nafld-biomarker-test,https://superpower.com/checkout?sp_variant=nafld-biomarker-test
Obesity Biomarker Test,Obesity Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Insulin, thyroid, hormones, inflammation, and more.",https://superpower.com/welcome-cms/obesity-biomarker-test,https://superpower.com/checkout?sp_variant=obesity-biomarker-test
Osteomalacia Biomarker Test,Osteomalacia Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Vitamin D, calcium, ALP, and more.",https://superpower.com/welcome-cms/osteomalacia-biomarker-test,https://superpower.com/checkout?sp_variant=osteomalacia-biomarker-test
Osteoporosis Biomarker Test,Osteoporosis Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Vitamin D, calcium, thyroid, hormones, and more.",https://superpower.com/welcome-cms/osteoporosis-biomarker-test,https://superpower.com/checkout?sp_variant=osteoporosis-biomarker-test
Osteoporosis Test,Osteoporosis Blood Test | Bone Health Screening | Superpower,"Blood tests for osteoporosis risk factors - vitamin D, calcium, thyroid, inflammation. 54M Americans affected. 100+ biomarkers. ~10 day results. $199/year.",https://superpower.com/welcome-cms/osteoporosis-test,https://superpower.com/checkout?sp_variant=osteoporosis-test
Pancreatitis Biomarker Test,Pancreatitis Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Metabolic, liver, triglycerides, glucose, and more.",https://superpower.com/welcome-cms/pancreatitis-biomarker-test,https://superpower.com/checkout?sp_variant=pancreatitis-biomarker-test
PCOS Biomarker Test,PCOS Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Testosterone, insulin, DHEA, thyroid, and more.",https://superpower.com/welcome-cms/pcos-biomarker-test,https://superpower.com/checkout?sp_variant=pcos-biomarker-test
PCOS Test,PCOS Test | Hormone & Insulin Blood Work | Superpower,"PCOS blood test - testosterone, insulin, DHEA, thyroid. 1 in 10 women have PCOS, 70% undiagnosed. 100+ biomarkers. ~10 day results. $199/year.",https://superpower.com/welcome-cms/pcos-test,https://superpower.com/checkout?sp_variant=pcos-test
Peripheral Artery Disease Biomarker Test,Peripheral Artery Disease Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Lipids, inflammation, metabolic, and more.",https://superpower.com/welcome-cms/peripheral-artery-disease-biomarker-test,https://superpower.com/checkout?sp_variant=peripheral-artery-disease-biomarker-test
Prediabetes Biomarker Test,Prediabetes Biomarker Test | Superpower,"100+ biomarkers in one blood draw. A1C, glucose, insulin, metabolic panel, and more.",https://superpower.com/welcome-cms/prediabetes-biomarker-test,https://superpower.com/checkout?sp_variant=prediabetes-biomarker-test
Prediabetes Test,Prediabetes Test | A1C + Insulin Screening | Superpower,"Screen for prediabetes with HbA1c, fasting glucose, and insulin. 84% of prediabetics don't know it. 100+ biomarkers. ~10 day results. $199/year.",https://superpower.com/welcome-cms/prediabetes-test,https://superpower.com/checkout?sp_variant=prediabetes-test
Prolactin Test,Prolactin Test | Prolactin Levels | Superpower,"Test prolactin levels. Important for fertility, libido, and hormonal health. Results in 10 days. Only $199/year.",https://superpower.com/welcome-cms/prolactin-test,https://superpower.com/checkout?sp_variant=prolactin-test
Prostate Cancer Biomarker Test,Prostate Cancer Biomarker Test | Superpower,"100+ biomarkers in one blood draw. PSA, testosterone, inflammation, and more.",https://superpower.com/welcome-cms/prostate-cancer-biomarker-test,https://superpower.com/checkout?sp_variant=prostate-cancer-biomarker-test
Prostate Health,Prostate Health | Superpower,"100+ biomarkers in one blood draw. PSA, testosterone, metabolic, and more.",https://superpower.com/welcome-cms/prostate-health,https://superpower.com/checkout?sp_variant=prostate-health
PSA Test,PSA Test | Prostate Cancer Screening | Superpower,PSA test for prostate cancer screening. Track prostate health. Results in 10 days. Only $199/year.,https://superpower.com/welcome-cms/psa-test,https://superpower.com/checkout?sp_variant=psa-test
Rheumatoid Arthritis Biomarker Test,Rheumatoid Arthritis Biomarker Test | Superpower,"100+ biomarkers in one blood draw. ANA, CRP, inflammation markers, and more.",https://superpower.com/welcome-cms/rheumatoid-arthritis-biomarker-test,https://superpower.com/checkout?sp_variant=rheumatoid-arthritis-biomarker-test
Semen Analysis,Semen Analysis | Male Fertility Test | Superpower,"Test semen analysis. Sperm count, motility, morphology. Understand male fertility. Results in 10 days.",https://superpower.com/welcome-cms/semen-analysis,https://superpower.com/checkout?sp_variant=semen-analysis
Sleep Apnea Biomarker Test,Sleep Apnea Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Metabolic, thyroid, inflammation, and more.",https://superpower.com/welcome-cms/sleep-apnea-biomarker-test,https://superpower.com/checkout?sp_variant=sleep-apnea-biomarker-test
Specialty Tests,"Specialty Blood Tests | PSA, Celiac, Lyme | Superpower","Specialty blood tests without the specialist wait - PSA, celiac, Lyme, uric acid. Skip the referral. 100+ biomarkers. ~10 day results. $199/year.",https://superpower.com/welcome-cms/specialty-tests,https://superpower.com/checkout?sp_variant=specialty-tests
Subclinical Hyperthyroidism Biomarker Test,Subclinical Hyperthyroidism Biomarker Test | Superpower,"100+ biomarkers in one blood draw. TSH, T4, T3, thyroid antibodies, and more.",https://superpower.com/welcome-cms/subclinical-hyperthyroidism-biomarker-test,https://superpower.com/checkout?sp_variant=subclinical-hyperthyroidism-biomarker-test
Subclinical Hypothyroidism Biomarker Test,Subclinical Hypothyroidism Biomarker Test | Superpower,100+ biomarkers in one blood draw. Antibodies show if borderline thyroid will progress.,https://superpower.com/welcome-cms/subclinical-hypothyroidism-biomarker-test,https://superpower.com/checkout?sp_variant=subclinical-hypothyroidism-biomarker-test
Systemic Lupus Erythematosus Biomarker Test,Systemic Lupus Erythematosus Biomarker Test | Superpower,"100+ biomarkers in one blood draw. ANA, inflammation, immune markers, and more.",https://superpower.com/welcome-cms/systemic-lupus-erythematosus-biomarker-test,https://superpower.com/checkout?sp_variant=systemic-lupus-erythematosus-biomarker-test
Telomere Test,Telomere Test | Measure Cellular Age | Superpower,Test telomere length to understand biological aging. See how lifestyle affects cellular health. Results in 10 days.,https://superpower.com/welcome-cms/telomere-test,https://superpower.com/checkout?sp_variant=telomere-test
Telomeres Info,Telomeres Info | Superpower,"100+ biomarkers in one blood draw. Aging, inflammation, hormones, metabolic, and more.",https://superpower.com/welcome-cms/telomeres-info,https://superpower.com/checkout?sp_variant=telomeres-info
Testosterone Levels,Testosterone Levels | Superpower,"100+ biomarkers in one blood draw. Total T, Free T, SHBG, thyroid, metabolic, and more.",https://superpower.com/welcome-cms/testosterone-levels,https://superpower.com/checkout?sp_variant=testosterone-levels
Testosterone Test,Testosterone Test | Check T Levels | Superpower,Test your testosterone levels. Total and free testosterone testing with results in 10 days. Only $199/year with Superpower.,https://superpower.com/welcome-cms/testosterone-test,https://superpower.com/checkout?sp_variant=testosterone-test
Thyroid Antibodies,"Thyroid Antibody Test | TPO, Thyroglobulin | Superpower",Test thyroid antibodies. TPO and thyroglobulin antibodies detect autoimmune thyroid disease that TSH misses. Results in 10 days.,https://superpower.com/welcome-cms/thyroid-antibodies,https://superpower.com/checkout?sp_variant=thyroid-antibodies
Thyroid Nodules,Thyroid Nodules | Superpower,"100+ biomarkers in one blood draw. Full thyroid panel, inflammation, and more.",https://superpower.com/welcome-cms/thyroid-nodules,https://superpower.com/checkout?sp_variant=thyroid-nodules
Thyroid Panel,"Complete Thyroid Panel | TSH, T3, T4, Antibodies | Superpower","Get a complete thyroid panel. Test TSH, Free T3, Free T4, thyroid antibodies. More comprehensive than standard thyroid tests. Results in 10 days.",https://superpower.com/welcome-cms/thyroid-panel,https://superpower.com/checkout?sp_variant=thyroid-panel
Thyroid Symptoms,Thyroid Symptoms | Superpower,"100+ biomarkers in one blood draw. Complete thyroid panel, hormones, vitamins, and more.",https://superpower.com/welcome-cms/thyroid-symptoms,https://superpower.com/checkout?sp_variant=thyroid-symptoms
Thyroid Test at Home,At-Home Thyroid Test | Complete Panel | Superpower,"Complete thyroid test at home - TSH, T4, T3, antibodies. Licensed phlebotomist. 60% of thyroid disease missed by TSH alone. 100+ biomarkers. $199/year.",https://superpower.com/welcome-cms/thyroid-test-at-home,https://superpower.com/checkout?sp_variant=thyroid-test-at-home
Triglycerides,Triglycerides Test | Full Lipid Panel | Superpower,"Check your triglyceride levels as part of a complete cardiovascular panel. LDL, HDL, ApoB, Lp(a) - 100+ biomarkers. Results in ~10 days. $199/year.",https://superpower.com/welcome-cms/triglycerides,https://superpower.com/checkout?sp_variant=triglycerides
Triglycerides Causes,Triglycerides Causes | Superpower,"100+ biomarkers in one blood draw. Triglycerides, insulin, metabolic panel, and more.",https://superpower.com/welcome-cms/triglycerides-causes,https://superpower.com/checkout?sp_variant=triglycerides-causes
Triglycerides High,Triglycerides High | Superpower,"100+ biomarkers in one blood draw. Triglycerides, insulin, glucose, liver, and more.",https://superpower.com/welcome-cms/triglycerides-high,https://superpower.com/checkout?sp_variant=triglycerides-high
Triglycerides Meaning,Triglycerides Meaning | Superpower,"100+ biomarkers in one blood draw. Triglycerides, HDL ratio, metabolic, and more.",https://superpower.com/welcome-cms/triglycerides-meaning,https://superpower.com/checkout?sp_variant=triglycerides-meaning
TSH Test,TSH Test | Thyroid Function Test | Superpower,Get your TSH tested. Check thyroid-stimulating hormone levels to evaluate thyroid function. Complete panel with results in 10 days.,https://superpower.com/welcome-cms/tsh-test,https://superpower.com/checkout?sp_variant=tsh-test
Uric Acid Test,Uric Acid Test | Gout Screening | Superpower,Test uric acid. Screen for gout and metabolic risk. Results in 10 days. Only $199/year.,https://superpower.com/welcome-cms/uric-acid-test,https://superpower.com/checkout?sp_variant=uric-acid-test
Vitamin B12 Deficiency Biomarker Test,Vitamin B12 Deficiency Biomarker Test | Superpower,"100+ biomarkers in one blood draw. B12, MMA, homocysteine, folate, and more.",https://superpower.com/welcome-cms/vitamin-b12-deficiency-biomarker-test,https://superpower.com/checkout?sp_variant=vitamin-b12-deficiency-biomarker-test
Vitamin D Deficiency,Vitamin D Deficiency | Superpower,"100+ biomarkers in one blood draw. Vitamin D, calcium, immune, hormones, and more.",https://superpower.com/welcome-cms/vitamin-d-deficiency,https://superpower.com/checkout?sp_variant=vitamin-d-deficiency
Vitamin D Deficiency Biomarker Test,Vitamin D Deficiency Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Vitamin D, calcium, immune markers, and more.",https://superpower.com/welcome-cms/vitamin-d-deficiency-biomarker-test,https://superpower.com/checkout?sp_variant=vitamin-d-deficiency-biomarker-test
Vitamin D Info,Vitamin D Info | Superpower,"100+ biomarkers in one blood draw. Vitamin D, hormones, immune function, and more.",https://superpower.com/welcome-cms/vitamin-d-info,https://superpower.com/checkout?sp_variant=vitamin-d-info
Vitamin D Sun,Vitamin D Sun | Superpower,"100+ biomarkers in one blood draw. Vitamin D, calcium, parathyroid, and more.",https://superpower.com/welcome-cms/vitamin-d-sun,https://superpower.com/checkout?sp_variant=vitamin-d-sun
Vitamin D Test,Vitamin D Test | Check Your Levels | Superpower,Test vitamin D. 42% of Americans are deficient. Check your level and optimize. Results in 10 days.,https://superpower.com/welcome-cms/vitamin-d-test,https://superpower.com/checkout?sp_variant=vitamin-d-test
Vitamin Panel,Vitamin Panel | Test Vitamins & Minerals | Superpower,"Test essential vitamins and minerals. Find deficiencies. D, B12, iron, and more. Results in 10 days.",https://superpower.com/welcome-cms/vitamin-panel,https://superpower.com/checkout?sp_variant=vitamin-panel
Wellness Testing,Wellness Testing | 100+ Biomarkers | Superpower,"Annual wellness blood testing - 100+ biomarkers. Catch silent health issues 5-15 years early. Heart, metabolic, hormones, vitamins. $199/year.",https://superpower.com/welcome-cms/wellness-testing,https://superpower.com/checkout?sp_variant=wellness-testing
